TesterID:	Maccor#2												
Channel Number:	57												
TestName:	KAI_Zelltest_regulaer_fix_no_degass.000												
TestDesc:	Regular cycling: formation, followed by pulse, C-rate quick charge and cycling t												
StartDateTime:	44902,4299551157												
Comment:													
													
									Charge	Discharge			
Cycle	AH-IN	AH-OUT	WH-IN	WH-OUT	V1_Start	V1_End	V1_Min	V1_Max	V1_Start	V1_End	V1_Min	V1_Max	Date
0		1,18053E-7		2,5225E-8					-0,000866818358190358	-0,00102509092539549	-0,00102509092539549	-0,000866818358190358	44902,6384068519
1	0,528700923692	0,452125122759	1,967706957936	1,659181451824	-0,000866818358190358	-0,000866818358190358	-0,00134163582697511	-0,000708545907400548	-0,000866818358190358	-0,000866818358190358	-0,0011833633761853	-0,000708545907400548	44903,0848665046
2	0,45556327924	0,451966252244	1,711081407603	1,659312030994	-0,00102509092539549	-0,00102509092539549	-0,0011833633761853	-0,000708545907400548	-0,000866818358190358	-0,000866818358190358	-0,00134163582697511	-0,000708545907400548	44903,5053712731
3	0,466733477454	1,29497E-7	1,757370546655	4,17073E-7	-0,000866818358190358	-0,00102509092539549	-0,0011833633761853	-0,000708545907400548	-0,00102509092539549	-0,0011833633761853	-0,0011833633761853	-0,000550273398403078	44903,9975119907
4	5,46781617964955E-13	1,5386E-7	2,05160325991243E-12	4,9949E-7	-0,000866818358190358	-0,000866818358190358	-0,0011833633761853	-0,000708545907400548	-0,000866818358190358	-0,00102509092539549	-0,0011833633761853	-0,000708545907400548	44904,3028624306
5	0,456605763662	0,454158597981	1,727972637803	1,668482424666	-0,000866818358190358	-0,00102509092539549	-0,0011833633761853	-0,000708545907400548	-0,00102509092539549	-0,00102509092539549	-0,0011833633761853	-0,000708545907400548	44904,5702939352
6	0,454883342908	0,45304066186	1,721202089397	1,664608541521	-0,00102509092539549	-0,00102509092539549	-0,0011833633761853	-0,000708545907400548	-0,00102509092539549	-0,00102509092539549	-0,00134163582697511	-0,000708545907400548	44904,843491088
7	0,453462044252	0,451797525676	1,715576216052	1,660150298475	-0,00102509092539549	-0,000866818358190358	-0,0011833633761853	-0,000708545907400548	-0,00102509092539549	-0,000866818358190358	-0,00134163582697511	-0,000708545907400548	44905,1155358333
8	0,452330111218	0,427618643465	1,711154540121	1,545798610005	-0,00102509092539549	-0,000866818358190358	-0,0011833633761853	-0,000550273398403078	-0,000866818358190358	-0,00102509092539549	-0,0011833633761853	-0,000708545907400548	44905,3039120949
9	0,428014587896	0,424293933188	1,627096224562	1,533443988572	-0,000866818358190358	-0,000866818358190358	-0,0011833633761853	-0,000708545907400548	-0,000866818358190358	-0,00102509092539549	-0,00134163582697511	-0,000708545907400548	44905,4853300579
10	0,424780170514	0,421730045156	1,615628774929	1,523928930897	-0,00102509092539549	-0,00102509092539549	-0,0011833633761853	-0,000708545907400548	-0,0011833633761853	-0,000866818358190358	-0,0011833633761853	-0,000708545907400548	44905,6658601273
11	0,42210824732	0,296222984056	1,606127089602	1,054930081445	-0,00102509092539549	-0,00102509092539549	-0,0011833633761853	-0,000708545907400548	-0,000866818358190358	-0,00102509092539549	-0,0011833633761853	-0,000708545907400548	44905,8210404745
12	0,296684612329	0,283009090527	1,155139154392	1,009999337981	-0,00102509092539549	-0,00102509092539549	-0,0011833633761853	-0,000708545907400548	-0,000866818358190358	-0,00102509092539549	-0,0011833633761853	-0,000708545907400548	44905,9413909144
13	0,283295086472	0,271247054778	1,105874738071	0,968852026279	-0,00134163582697511	-0,00102509092539549	-0,00134163582697511	-0,000708545907400548	-0,000866818358190358	-0,00102509092539549	-0,00134163582697511	-0,000708545907400548	44906,0574176042
14	0,271598374456	0,44118569304	1,062806555884	1,621357590626	-0,00102509092539549	-0,00102509092539549	-0,0011833633761853	-0,000708545907400548	-0,00102509092539549	-0,00102509092539549	-0,00134163582697511	-0,000708545907400548	44906,2769678588
15	0,441443026162	0,441841162764	1,671215246516	1,624010368233	-0,000866818358190358	-0,000866818358190358	-0,00134163582697511	-0,000708545907400548	-0,000866818358190358	-0,000866818358190358	-0,00134163582697511	-0,000708545907400548	44906,5426791204
16	0,442251322244	1,37542E-7	1,673897577548	4,38949E-7	-0,000866818358190358	-0,00102509092539549	-0,0011833633761853	-0,000708545907400548	-0,00102509092539549	-0,00102509092539549	-0,00134163582697511	-0,000708545907400548	44906,8157860764
17	0,388060888404	0,388089896763	1,47821619473	1,405674711256	-0,000866818358190358	-0,00102509092539549	-0,0011833633761853	-0,000708545907400548	-0,00102509092539549	-0,00102509092539549	-0,0011833633761853	-0,000708545907400548	44906,9620062616
