TesterID:	Maccor#2				
Channel Number:	59				
TestName:	KAI_Zelltest_regulaer_fix_no_degass.000				
TestDesc:	Regular cycling: formation, followed by pulse, C-rate quick charge and cycling t				
StartDateTime:	44888,6407658565				
Comment:					
					
					
Cycle	AH-IN	AH-OUT	WH-IN	WH-OUT	Date
0		1,19538E-7		1,9089E-8	44889,4638088079
1	0,538427934564	0,443840913602	2,004045913188	1,629994234632	44889,9109207523
2	0,466597970067	0,445148854353	1,752754306723	1,635113591135	44890,3333140856
3	0,478965500226	1,39459E-7	1,803381203845	4,48236E-7	44890,8307259607
4	1,27158515805803E-14	1,60006E-7	4,76968129326049E-14	5,21852E-7	44891,1399510995
5	0,46652941166	0,453262924836	1,764630513999	1,665905767857	44891,4116394213
6	0,465558861764	0,452910732206	1,760388518032	1,664730736528	44891,689450463
7	0,464882826192	0,452343401567	1,757436421387	1,662614382959	44891,9662804977
8	0,464192841579	0,433667275671	1,754507219916	1,570617165326	44892,1601617593
9	0,441611066897	0,433137821733	1,676311174943	1,568668389048	44892,3473321528
10	0,440970066107	0,432834213822	1,673665082087	1,567507256979	44892,5339652778
11	0,440590563792	0,3697736903	1,672028475656	1,309566066239	44892,6980109954
12	0,376286623015	0,371416719468	1,444971803561	1,316142283998	44892,844831412
13	0,377557564106	0,371390857547	1,449225489799	1,31614432516	44892,991400544
14	0,377405639605	0,4488171671	1,448409115939	1,64988316292	44893,2419854398
15	0,459553776887	0,449445127344	1,735849870447	1,652117073327	44893,5151525231
16	0,460347971944	1,47714E-7	1,738513080407	4,70073E-7	44893,8049633912
17	0,404303234467	0,398987546834	1,533319228867	1,446679595824	44893,955574537
18	0,404314823907	0,39880985849	1,532981981112	1,445890945434	44894,1130184606
19	0,404361309031	0,398815711599	1,532926691445	1,445865605841	44894,2704682755
20	0,375686998703	0,366240519891	1,450418585595	1,317852017435	44894,3997498148
21	0,36595030734	0,356016420056	1,412405957839	1,279807049571	44894,5258439931
22	0,351734072612	1,40519E-7	1,359876144082	4,32541E-7	44894,6546101157
23	6,35792579029017E-15	0,254343584189	2,3793107500857E-14	0,892135762003	44894,9390892361
24	0,432922455844	0,413924639905	1,667931349838	1,493910993394	44895,0548928009
25	0,415673150539	0,413156104012	1,606825044378	1,491089433342	44895,1666819907
26	0,414393305039	0,412379759525	1,60205507787	1,488206015885	44895,2781351852
27	0,41348949598	0,411514357451	1,598770476365	1,485001488948	44895,3895027894
28	0,412897812946	0,410701924955	1,596751170999	1,481979700088	44895,5009657407
29	0,412098687992	0,409954105936	1,593868168479	1,479193520294	44895,6122921412
30	0,41135739818	0,409304386113	1,591191218441	1,476757019993	44895,723568831
31	0,410751050277	0,408732237642	1,58903502533	1,474608258065	44895,8350073032
32	0,410018268569	0,408081191344	1,586335933511	1,472161506107	44895,9460829398
33	0,409495915035	0,407585194082	1,584518993403	1,470312189243	44896,0574521412
34	0,408829451367	0,406903288742	1,582074766875	1,467759211248	44896,168467419
35	0,408177835388	0,406270312725	1,579729558053	1,46537365107	44896,2794201042
36	0,407565108046	0,405606445033	1,57752733218	1,462885086993	44896,3902422569
37	0,406768982043	0,40482243098	1,574704255821	1,459940706641	44896,5014111343
38	0,406138002456	0,40424558641	1,572471410844	1,457693895064	44896,6129211921
39	0,405426767991	0,40368443814	1,569842676261	1,455623206662	44896,7238652431
40	0,404892537955	0,403112266142	1,567941849868	1,453466242349	44896,834771169
41	0,4043165922	0,40256981067	1,565858118292	1,451409065525	44896,9455534375
42	0,403802036873	0,402022159716	1,564068791752	1,449346457995	44897,0564322338
43	0,403273322972	0,401425360722	1,562218429143	1,447094552313	44897,1675138079
44	0,402574023229	0,400836297417	1,55968633133	1,444850041253	44897,2783452083
45	0,402022330911	0,400259012804	1,557742422921	1,442686997942	44897,3891875926
46	0,401483664724	0,399787526618	1,555858088908	1,44084410138	44897,500028287
47	0,400860029752	0,399347169262	1,55357745876	1,439213353032	44897,6107472222
48	0,400430825185	0,398731018648	1,552075823525	1,436888984778	44897,7214741898
49	0,39983919947	0,39821697823	1,550039577107	1,43492363917	44897,8325818171
50	0,399313345925	0,397755867545	1,548091475756	1,433185675896	44897,9432452431
51	0,398787388336	0,397235356453	1,54619503616	1,431217597894	44898,0537316782
52	0,398343822695	0,39683105998	1,544643346258	1,429679765498	44898,1643976042
53	0,397872545286	0,396385395663	1,542977378233	1,427992389789	44898,275073044
54	0,397471908227	0,395998045183	1,541550564046	1,42649492622	44898,3855020833
55	0,396989742949	0,395513592644	1,539795945234	1,424623188191	44898,4960532986
56	0,396555049158	0,395164834346	1,538332892451	1,423297515147	44898,6066109028
57	0,396073241497	0,39469209989	1,536550025888	1,4215068232	44898,7168437731
58	0,395666551371	0,394274859952	1,535089756002	1,419913160042	44898,8271977315
59	0,395226503297	0,393860244142	1,533535634252	1,418335597199	44898,9375280324
60	0,394853853666	0,393485693859	1,532252264541	1,416907030077	44899,0479924537
61	0,394391388306	0,393037512016	1,53056919175	1,415203730291	44899,1582362731
62	0,394030590005	0,39269127718	1,529330300542	1,413875449045	44899,2687252431
63	0,393596895364	0,392238039514	1,527763839423	1,412130201322	44899,3790214352
64	0,39320544933	0,391840164122	1,526419139261	1,410579772011	44899,489469375
65	0,39280582027	0,391439665026	1,525015792026	1,408987163527	44899,5998641204
66	0,392395404757	0,391069003674	1,523557192406	1,407567083829	44899,7103128704
67	0,391923852584	0,39067639519	1,521839519718	1,406119937467	44899,8206127662
68	0,391632481152	0,390303133025	1,520878740712	1,404683082595	44899,9309705671
69	0,391226179508	0,389852301196	1,519434450236	1,402957300052	44900,0413867593
70	0,390820176097	0,389428627038	1,518054617289	1,401328394152	44900,1520117477
71	0,390372726244	0,388959818812	1,516520446193	1,399508683042	44900,2626261574
72	0,389859874924	0,388443141764	1,514683672121	1,39750243773	44900,3729411111
73	0,389510884107	1,63195E-7	1,513550846255	5,50429E-7	44900,4906278125
74	2,54317031611607E-14	0,240828670528	9,55100447398317E-14	0,843994526703	44900,7574471644
75	0,410023360689	0,388868042366	1,587383597011	1,398753404776	44900,8725641551
